redirect_url,description,title,created_date,company,area_json,location,retrieved_at,raw_payload,job_hash,AI_score,model_version,prompt_version,AI_justification,user_score,user_justification,applied
https://www.adzuna.fr/land/ad/5210239294?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=17C3B90C9455B542BCE48184C5A94F0E6B44F04E,"offre d’emploi pour un cdi : consultant data engineer whize est spécialisée dans le développement de solutions sur mesure en architecture serverless (azure, amazon ws, google cp) et de solutions basées sur l'écosystème microsoft 365 (sharepoint, teams, power platform). vos missions : concevoir des solutions de traitement de volume très important de données. développement de flux de données et préparation de leur analyse. préparation des données pour l'analyse des données collectées. profil rech…",consultant data engineer,2025-05-22,WHIZE,"[""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Nanterre"", ""Neuilly-sur-Seine""]","Neuilly-sur-Seine, Nanterre",2025-05-23,"{""redirect_url"": ""https://www.adzuna.fr/land/ad/5210239294?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=17C3B90C9455B542BCE48184C5A94F0E6B44F04E"", ""id"": ""5210239294"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""description"": ""Offre d\u2019emploi pour un CDI : Consultant Data Engineer WHIZE est sp\u00e9cialis\u00e9e dans le d\u00e9veloppement de solutions sur mesure en architecture Serverless (Azure, Amazon WS, Google CP) et de solutions bas\u00e9es sur l'\u00e9cosyst\u00e8me Microsoft 365 (SharePoint, Teams, Power Platform). Vos missions : Concevoir des solutions de traitement de volume tr\u00e8s important de donn\u00e9es. D\u00e9veloppement de flux de donn\u00e9es et pr\u00e9paration de leur analyse. Pr\u00e9paration des donn\u00e9es pour l'analyse des donn\u00e9es collect\u00e9es. Profil rech\u2026"", ""longitude"": 2.27251, ""latitude"": 48.88357, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYmdvOTFMbzM4QkdVRXVFel9MV0NldyIsImkiOiI1MjEwMjM5Mjk0In0.4DBbq0hFahrQN5tdF-rMZNCve-u1yutQORqR1USscHw"", ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""unknown"", ""label"": ""Unknown""}, ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Nanterre"", ""Neuilly-sur-Seine""], ""display_name"": ""Neuilly-sur-Seine, Nanterre""}, ""company"": {""display_name"": ""WHIZE"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""title"": ""Consultant Data Engineer"", ""salary_is_predicted"": ""0"", ""created"": ""2025-05-22T05:23:36Z""}",17265788565691228815,310365,gpt-3.5-turbo,v1,"Match Score: 3/10

Justification: The job posting mentions working with Azure, Amazon WS, and Google CP, which may not align with the user's preference for AWS. Additionally, the focus on Microsoft 365 and lack of mention of the energy or public sector may not meet the user's ideal job criteria.",10,,False
https://www.adzuna.fr/land/ad/5208397083?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=DD59F271077673675042A22C1F7C0EB0FFB7D9BC,"nous recherchons un(e) tech lead data engineer capable de trouver des solutions innovantes et robustes à l'ensemble des problématiques data. vous aurez la charge de : - assurer la mise en oeuvre de l'accès, du référencement et de la qualité de la donnée - assurer l'industrialisation, la supervision et l'intégration des solutions - rédiger les normes de développement - participer à la rédaction du manuel d'exploitation en tant que tech lead, vous savez : - vous présenter et promouvoir des archit…",tech lead data engineer h/f,2025-05-21,JEMS,"[""France"", ""Ile-de-France"", ""Hauts-de-Seine""]","Hauts-de-Seine, Ile-de-France",2025-05-23,"{""created"": ""2025-05-21T05:59:32Z"", ""title"": ""Tech Lead Data Engineer H/F"", ""salary_is_predicted"": ""0"", ""salary_max"": 60000, ""contract_time"": ""full_time"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""JEMS""}, ""location"": {""display_name"": ""Hauts-de-Seine, Ile-de-France"", ""area"": [""France"", ""Ile-de-France"", ""Hauts-de-Seine""], ""__CLASS__"": ""Adzuna::API::Response::Location""}, ""category"": {""label"": ""Unknown"", ""tag"": ""unknown"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""salary_min"": 50000, ""longitude"": 2.245857, ""redirect_url"": ""https://www.adzuna.fr/land/ad/5208397083?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=DD59F271077673675042A22C1F7C0EB0FFB7D9BC"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIwODM5NzA4MyIsInMiOiJiZ285MUxvMzhCR1VFdUV6X0xXQ2V3In0.WK8mhoWbGQduBooh0JJ7a8FDqBOMupn1EM3R6FaLW8s"", ""latitude"": 48.82583, ""description"": ""Nous recherchons un(e) Tech Lead Data Engineer capable de trouver des solutions innovantes et robustes \u00e0 l'ensemble des probl\u00e9matiques Data. Vous aurez la charge de : - Assurer la mise en oeuvre de l'acc\u00e8s, du r\u00e9f\u00e9rencement et de la qualit\u00e9 de la donn\u00e9e - Assurer l'industrialisation, la supervision et l'int\u00e9gration des solutions - R\u00e9diger les normes de d\u00e9veloppement - Participer \u00e0 la r\u00e9daction du manuel d'exploitation En tant que Tech Lead, vous savez : - Vous pr\u00e9senter et promouvoir des archit\u2026"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""id"": ""5208397083""}",9308817180459684392,4103,gpt-3.5-turbo,v1,"Match: 4/10
Justification: The job posting is for a tech lead data engineer, which may be too senior for a beginner with less than 3 years of experience. The focus on finding innovative solutions aligns with the user's interest in working with data, but the lack of mention of AWS or specific sector preferences may not fully align with their ideal job description.",7,"Contenu aligné avec mon objectif professionnel mais requiert trop d'expérience (5 ans minimum sur un poste similaire). Je n'ai jamais utilisé certains outils requis comme  ""Un bus de messages : Kafka, RabbitMQ"" ou ""Des Outils d'alimentation de données : Talend, Matillion, Stambia"" ou ""Le Stockage des données : stockage objet et/ou distribué (HDFS, deltalake ou blob/S3)""",True
https://www.adzuna.fr/land/ad/5208252157?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=98F76C70228C6E7C6C1DB90AABB16C6E0081BD4D,"upward, cabinet de recrutement par approche directe comprenant 13 expertises dont la data & l’ia, recherche pour l’un de ses clients un(e) responsable data engineering. poste : responsable data engineering rattachement : chief data officer lieu : ile de france (2 à 3 jours de télétravail) l’entreprise : notre client, une entreprise pharmaceutique, recrute un(e) responsable data engeering pour prendre en main les systèmes de bases de données, les faire évoluer, et piloter les prestataires. le po…",responsable data engineering,2025-05-21,UPWARD,"[""France"", ""Ile-de-France"", ""Paris""]","Paris, Ile-de-France",2025-05-23,"{""company"": {""display_name"": ""Upward"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""salary_is_predicted"": ""0"", ""title"": ""Responsable Data Engineering"", ""created"": ""2025-05-21T02:16:40Z"", ""latitude"": 48.863839, ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""unknown"", ""label"": ""Unknown""}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIwODI1MjE1NyIsInMiOiJiZ285MUxvMzhCR1VFdUV6X0xXQ2V3In0.AKSf4VoRn5uWpm9tM1uNqQIr_yyk7AiRKi-fm7zbHP0"", ""location"": {""area"": [""France"", ""Ile-de-France"", ""Paris""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Paris, Ile-de-France""}, ""redirect_url"": ""https://www.adzuna.fr/land/ad/5208252157?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=98F76C70228C6E7C6C1DB90AABB16C6E0081BD4D"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""id"": ""5208252157"", ""longitude"": 2.344631, ""description"": ""Upward, cabinet de recrutement par approche directe comprenant 13 expertises dont la Data & l\u2019IA, recherche pour l\u2019un de ses clients un(e) Responsable Data Engineering. Poste : Responsable Data Engineering Rattachement : Chief Data Officer Lieu : Ile de France (2 \u00e0 3 jours de t\u00e9l\u00e9travail) L\u2019entreprise : Notre client, une entreprise pharmaceutique, recrute un(e) Responsable Data Engeering pour prendre en main les syst\u00e8mes de bases de donn\u00e9es, les faire \u00e9voluer, et piloter les prestataires. Le po\u2026""}",7610079619765001314,410,gpt-3.5-turbo,v1,"Match Score: 4/10
Justification: While the job involves data engineering and working with databases, it is in the pharmaceutical sector, not energy/environment or public sector as desired. The job also does not specifically mention AWS services.",5,"7 ans d'années d'expérience sont attendus avec des outils comme Snowflake, Talend Data Fabric, Qlik Talend, Tableau, que je n'ai encore jamais utilisés. Enfin, le secteur de la pharmaceutique ne m'intéresse pas du tout.",False
https://www.adzuna.fr/land/ad/5211947523?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=55C5573344E7E537AB3ABCD50C44B870B165ED5E,"nos engagements, vos avantages - une réussite portée par notre excellence technologique, votre expérience et notre ambition partagée - un package de rémunération attractif - un développement des compétences en continu : parcours de formation, académies et communautés internes - un environnement inclusif, bienveillant et respectant l'équilibre des collaborateurs - un engagement sociétal et environnemental reconnu votre quotidien rejoignez-nous sur le campus vélizy qui héberge une grande diversit…",data engineer h/f,2025-05-23,THALES SERVICES NUMÉRIQUES SAS,"[""France"", ""Ile-de-France"", ""Yvelines"", ""Versailles"", ""V\u00e9lizy-Villacoublay""]","Vélizy-Villacoublay, Versailles",2025-05-23,"{""__CLASS__"": ""Adzuna::API::Response::Job"", ""id"": ""5211947523"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5211947523?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=55C5573344E7E537AB3ABCD50C44B870B165ED5E"", ""longitude"": 2.19001, ""description"": ""Nos engagements, vos avantages - Une r\u00e9ussite port\u00e9e par notre excellence technologique, votre exp\u00e9rience et notre ambition partag\u00e9e - Un package de r\u00e9mun\u00e9ration attractif - Un d\u00e9veloppement des comp\u00e9tences en continu : parcours de formation, acad\u00e9mies et communaut\u00e9s internes - Un environnement inclusif, bienveillant et respectant l'\u00e9quilibre des collaborateurs - Un engagement soci\u00e9tal et environnemental reconnu Votre quotidien Rejoignez-nous sur le campus V\u00e9lizy qui h\u00e9berge une grande diversit\u2026"", ""title"": ""Data Engineer H/F"", ""salary_is_predicted"": ""0"", ""company"": {""display_name"": ""Thales Services Num\u00e9riques Sas"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""contract_time"": ""full_time"", ""created"": ""2025-05-23T07:04:14Z"", ""latitude"": 48.78283, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIxMTk0NzUyMyIsInMiOiJiZ285MUxvMzhCR1VFdUV6X0xXQ2V3In0.E1eC__BrIpu_JaeC-oBsjSSsQYoY3POvXtPemLceyvA"", ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""label"": ""Emplois Autres/G\u00e9n\u00e9ral"", ""tag"": ""other-general-jobs""}, ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Ile-de-France"", ""Yvelines"", ""Versailles"", ""V\u00e9lizy-Villacoublay""], ""display_name"": ""V\u00e9lizy-Villacoublay, Versailles""}}",14146721359401778472,410,gpt-3.5-turbo,v1,"Match Score: 4/10

Justification: While the job as a data engineer at Thales Services Numériques SAS offers opportunities for skill development and an inclusive environment, it does not specifically mention working with AWS services or being in the energy/environment or public sector, which are the user's ideal preferences.",6,,False
https://www.adzuna.fr/details/5210754100?utm_medium=api&utm_source=ef4a1e8d,"en quelques mots cherry pick est à la recherche d'un ""data engineer"" pour un client dans le secteur de l'industrie musicale description contexte dans le cadre de l’extension de sa data platform à l’échelle du groupe (filiales incluses), le groupe renforce son équipe data office. rattaché à l’engineering manager data platform, vous interviendrez sur un projet de scalabilité et d’industrialisation de la plateforme data. ️ missions concevoir et implémenter des pipelines de données (batch et stream…",data engineer snowflake freelance,2025-05-22,CHERRY PICK,"[""France"", ""Ile-de-France"", ""Paris""]","Paris, Ile-de-France",2025-05-23,"{""contract_type"": ""permanent"", ""id"": ""5210754100"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""redirect_url"": ""https://www.adzuna.fr/details/5210754100?utm_medium=api&utm_source=ef4a1e8d"", ""description"": ""En quelques mots Cherry Pick est \u00e0 la recherche d'un \""Data Engineer\"" pour un client dans le secteur de l'industrie musicale Description Contexte Dans le cadre de l\u2019extension de sa Data Platform \u00e0 l\u2019\u00e9chelle du groupe (filiales incluses), le groupe renforce son \u00e9quipe Data Office. Rattach\u00e9 \u00e0 l\u2019Engineering Manager Data Platform, vous interviendrez sur un projet de scalabilit\u00e9 et d\u2019industrialisation de la plateforme data. \ufe0f Missions Concevoir et impl\u00e9menter des pipelines de donn\u00e9es (batch et stream\u2026"", ""longitude"": 2.344631, ""title"": ""Data Engineer Snowflake Freelance"", ""salary_is_predicted"": ""0"", ""company"": {""display_name"": ""Cherry Pick"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""created"": ""2025-05-22T13:56:07Z"", ""latitude"": 48.863839, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYmdvOTFMbzM4QkdVRXVFel9MV0NldyIsImkiOiI1MjEwNzU0MTAwIn0.leaC1d3UlNGXdjzC0EzzB0xLN9XYB2yhgR5iHLtUlDQ"", ""category"": {""tag"": ""sales-jobs"", ""label"": ""Emplois Vente"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Ile-de-France"", ""Paris""], ""display_name"": ""Paris, Ile-de-France""}}",3266101406003191059,310,gpt-3.5-turbo,v1,"Match: 3/10
Justification: The job posting is not in the energy, environment, or public sector as desired. While it involves data engineering and potentially AWS, the industry focus is on the music industry, not aligned with the user's preferences.",8,Offre intéressante mais la maitrise de l'outil snowflake semble incontournable pour ce poste.,True
https://www.adzuna.fr/details/5211624310?utm_medium=api&utm_source=ef4a1e8d,"nous recherchons un(e) ingénieur cloud azure pour renforcer les équipes it de notre client. rattaché(e) au responsable de production informatique, vous intervenez au cœur des différents projets cloud du groupe sur un périmètre international. dans le respect de la stratégie it établie par le responsable de la production informatique et le dsi, votre mission consiste à : mise en place et intégration dans une architecture cloud - apporter votre expertise technique et vos idées lors de la mise en p…",ingenieur infrastructure cloud azure,2025-05-23,PROPULSE IT,"[""France"", ""Ile-de-France"", ""Essonne"", ""Palaiseau"", ""Saclay""]","Saclay, Palaiseau",2025-05-23,"{""description"": ""Nous recherchons un(e) Ing\u00e9nieur Cloud Azure pour renforcer les \u00e9quipes IT de notre client. Rattach\u00e9(e) au Responsable de Production Informatique, vous intervenez au c\u0153ur des diff\u00e9rents projets Cloud du Groupe sur un p\u00e9rim\u00e8tre international. Dans le respect de la strat\u00e9gie IT \u00e9tablie par le Responsable de la Production Informatique et le DSI, votre mission consiste \u00e0 : Mise en place et int\u00e9gration dans une architecture cloud - Apporter votre expertise technique et vos id\u00e9es lors de la mise en p\u2026"", ""longitude"": 2.17437, ""redirect_url"": ""https://www.adzuna.fr/details/5211624310?utm_medium=api&utm_source=ef4a1e8d"", ""id"": ""5211624310"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""contract_type"": ""permanent"", ""location"": {""area"": [""France"", ""Ile-de-France"", ""Essonne"", ""Palaiseau"", ""Saclay""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Saclay, Palaiseau""}, ""latitude"": 48.73085, ""category"": {""label"": ""Emplois Informatique"", ""tag"": ""it-jobs"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYmdvOTFMbzM4QkdVRXVFel9MV0NldyIsImkiOiI1MjExNjI0MzEwIn0.UVjdu3FWnBZV5HJrwihE5tiwx0OkJitlUe5dKRe9_jU"", ""created"": ""2025-05-23T01:02:38Z"", ""contract_time"": ""full_time"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""PROPULSE IT""}, ""salary_is_predicted"": ""0"", ""title"": ""INGENIEUR INFRASTRUCTURE CLOUD AZURE""}",14751855683349622504,310,gpt-3.5-turbo,v1,"Match Score: 3/10

Justification: The job posting is for an Azure cloud engineer role, which does not align with the user's preference for AWS services. Additionally, the job is not in the energy, environment, or public sector as desired.",4,"Requiert 3 ou 4 années d'expérience sur les services de cloud d'Azure. Je ne maitrise que AWS. Même si les compétences des services cloud sont transférables, je manque de pratique.",False
https://www.adzuna.fr/land/ad/5208397065?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=EC3D1BF1D17C0AEFF75F5BEEEB08086EFE6827AE,"nous recherchons un expert sysops / devops / data engineering pour accompagner l'équipe en charge de la plateforme d'infrastructure de monitoring dynatrace. la mission est orientée run, automatisation et industrialisation, avec une forte exigence de haute disponibilité et de compliance. vos missions : maintien en conditions opérationnelles de l'infrastructure dynatrace (clusters, activegates, oneagents) préparation et exécution des upgrades dynatrace et os sous-jacents industrialisation via out…",data engineering - devops-sysops h/f,2025-05-21,LUTESSA,"[""France"", ""Ile-de-France"", ""Seine-Saint-Denis"", ""Le Raincy"", ""Noisy-le-Grand""]","Noisy-le-Grand, Le Raincy",2025-05-23,"{""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYmdvOTFMbzM4QkdVRXVFel9MV0NldyIsImkiOiI1MjA4Mzk3MDY1In0.AUEs882jMkK636oss-opVYhOeqn4uVOP0im7khaXQBU"", ""latitude"": 48.84777, ""description"": ""Nous recherchons un expert SysOps / DEVOPS / Data Engineering pour accompagner l'\u00e9quipe en charge de la plateforme d'infrastructure de monitoring Dynatrace. La mission est orient\u00e9e run, automatisation et industrialisation, avec une forte exigence de haute disponibilit\u00e9 et de compliance. Vos missions : Maintien en conditions op\u00e9rationnelles de l'infrastructure Dynatrace (clusters, ActiveGates, OneAgents) Pr\u00e9paration et ex\u00e9cution des upgrades Dynatrace et OS sous-jacents Industrialisation via out\u2026"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""id"": ""5208397065"", ""created"": ""2025-05-21T05:59:32Z"", ""salary_is_predicted"": ""0"", ""title"": ""Data Engineering - DevOps-Sysops H/F"", ""salary_max"": 60000, ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Lutessa""}, ""contract_time"": ""full_time"", ""location"": {""area"": [""France"", ""Ile-de-France"", ""Seine-Saint-Denis"", ""Le Raincy"", ""Noisy-le-Grand""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Noisy-le-Grand, Le Raincy""}, ""category"": {""label"": ""Emplois Informatique"", ""tag"": ""it-jobs"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""salary_min"": 55000, ""longitude"": 2.55281, ""redirect_url"": ""https://www.adzuna.fr/land/ad/5208397065?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=EC3D1BF1D17C0AEFF75F5BEEEB08086EFE6827AE""}",3498220213959676968,310,gpt-3.5-turbo,v1,"Match Score: 3/10
Justification: This job posting is more focused on sysops/devops with a strong emphasis on infrastructure monitoring, which may not align well with the user's interest in working with AWS services in the energy or environment sector.",8,"Poste intéressant mais demande une disponibilité 24/7. Par ailleurs, il faut de ""solides compétences en automatisation"", ce qui n'est pas encore trop mon cas.",True
https://www.adzuna.fr/land/ad/5210239181?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=9DC5D46FCE631C1D8D308DE336AE8CB6AD9332B9,"a propos de whize : filiale du groupe neurones (7200 collaborateurs en france), spécialisée dans le domaine de la data intelligence et du développement de solutions sur mesure en architecture serverless (azure, aws,gcp ). notre positionnement se décline en 3 offres : modern bi : expertise dans toute la chaine décisionnelle pour la création de tableaux de bord interactifs, l'extraction et transformation (etl) des données de différentes sources en utilisant des outils de business intelligence (bi…",data product owner,2025-05-22,WHIZE,"[""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Nanterre"", ""Neuilly-sur-Seine""]","Neuilly-sur-Seine, Nanterre",2025-05-23,"{""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""unknown"", ""label"": ""Unknown""}, ""latitude"": 48.88357, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIxMDIzOTE4MSIsInMiOiJiZ285MUxvMzhCR1VFdUV6X0xXQ2V3In0.FXz2musUbExlUVmhHeZY6u5xLVcBTxO4syP8-uFwahQ"", ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Nanterre"", ""Neuilly-sur-Seine""], ""display_name"": ""Neuilly-sur-Seine, Nanterre""}, ""title"": ""Data Product Owner"", ""salary_is_predicted"": ""0"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""WHIZE""}, ""created"": ""2025-05-22T05:23:30Z"", ""id"": ""5210239181"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5210239181?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=9DC5D46FCE631C1D8D308DE336AE8CB6AD9332B9"", ""description"": ""A propos de Whize : filiale du groupe Neurones (7200 collaborateurs en France), sp\u00e9cialis\u00e9e dans le domaine de la Data Intelligence et du d\u00e9veloppement de solutions sur mesure en architecture Serverless (Azure, AWS,GCP ). Notre positionnement se d\u00e9cline en 3 offres : Modern BI : expertise dans toute la chaine d\u00e9cisionnelle pour la cr\u00e9ation de tableaux de bord interactifs, l'extraction et transformation (ETL) des donn\u00e9es de diff\u00e9rentes sources en utilisant des outils de Business Intelligence (BI\u2026"", ""longitude"": 2.27251}",4593312615884089018,310,gpt-3.5-turbo,v1,"Score: 3/10

Justification: The job posting does not align with the user's preference for working with AWS services and in the energy or public sector. The role of a data product owner may not provide the technical hands-on experience the user is seeking.",1,Poste non technique. pas intéressé.,False
https://www.adzuna.fr/details/5210038162?utm_medium=api&utm_source=ef4a1e8d,"vos missions seront de : - mettre en place, standardiser, améliorer les processus d?intégration et de déploiement continu des projets - automatiser, standardiser, la définition des architectures de traitement et d?exposition de données dans un environnement cloud (gcp) - sécuriser les accès aux infrastructures cloud - gérer la solution d?orchestration des traitements de données (airflow) - identifier proactivement les processus à automatiser, les offres de service à développer - standardiser la…",data ops (it),2025-05-22,BEEZEN,"[""France"", ""Ile-de-France""]","Ile-de-France, France",2025-05-23,"{""location"": {""display_name"": ""Ile-de-France, France"", ""area"": [""France"", ""Ile-de-France""], ""__CLASS__"": ""Adzuna::API::Response::Location""}, ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""it-jobs"", ""label"": ""Emplois Informatique""}, ""created"": ""2025-05-22T01:54:49Z"", ""salary_max"": 90000, ""company"": {""display_name"": ""BEEZEN"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""salary_is_predicted"": ""0"", ""title"": ""data ops (IT)"", ""longitude"": 2.351634, ""redirect_url"": ""https://www.adzuna.fr/details/5210038162?utm_medium=api&utm_source=ef4a1e8d"", ""salary_min"": 40000, ""latitude"": 48.811332, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYmdvOTFMbzM4QkdVRXVFel9MV0NldyIsImkiOiI1MjEwMDM4MTYyIn0.ntwCs-vwyQmar_R-x7RT0zyLkgICtRlqu0fHl-iQJ94"", ""description"": ""Vos missions seront de : - mettre en place, standardiser, am\u00e9liorer les processus d?int\u00e9gration et de d\u00e9ploiement continu des projets - automatiser, standardiser, la d\u00e9finition des architectures de traitement et d?exposition de donn\u00e9es dans un environnement cloud (GCP) - s\u00e9curiser les acc\u00e8s aux infrastructures cloud - g\u00e9rer la solution d?orchestration des traitements de donn\u00e9es (Airflow) - identifier proactivement les processus \u00e0 automatiser, les offres de service \u00e0 d\u00e9velopper - standardiser la\u2026"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""id"": ""5210038162"", ""contract_type"": ""permanent""}",10830502349566555711,310,gpt-3.5-turbo,v1,"Match Score: 3/10

Justification: The job posting is more focused on GCP instead of AWS, and the role seems to be more oriented towards data ops rather than a junior technical role in data. The sector also does not align with the user's preferences.",5,"Poste intéressant mais demande 5 à 10 ans d'expérience en tant que devOps. De plus, il s'agit d'une mission de 4 mois donc peu de chance qu'ils soient prêt à investir sur un profil junior comme le mien.",False
https://www.adzuna.fr/land/ad/5210273267?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=12F702A93B90DBE45600522929923B176C6B69CE,notre client est une grande banque française. contexte / objectifs : la mission va se dérouler au sein de l'it data management & bi dans l'équipe big data & api / squad global trade qui aujourd'hui développe et gère un datalake (gtlake). ce datalake est utilisé comme une data plateforme pour les équipes it et métiers. l'objectif de la mission est d'assurer le rôle de développeur/data engineer du gtlake : - gestion de la production - gestion de la dette technique - revoir l'architecture actuelle…,data engineer big data h/f,2025-05-22,ANAYA,"[""France"", ""Ile-de-France"", ""Paris""]","Paris, Ile-de-France",2025-05-23,"{""salary_min"": 45000, ""longitude"": 2.344631, ""redirect_url"": ""https://www.adzuna.fr/land/ad/5210273267?se=bgo91Lo38BGUEuEz_LWCew&utm_medium=api&utm_source=ef4a1e8d&v=12F702A93B90DBE45600522929923B176C6B69CE"", ""created"": ""2025-05-22T06:07:31Z"", ""contract_time"": ""full_time"", ""salary_max"": 60000, ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""ANAYA""}, ""title"": ""Data Engineer Big Data H/F"", ""salary_is_predicted"": ""0"", ""location"": {""display_name"": ""Paris, Ile-de-France"", ""area"": [""France"", ""Ile-de-France"", ""Paris""], ""__CLASS__"": ""Adzuna::API::Response::Location""}, ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""label"": ""Emplois Informatique"", ""tag"": ""it-jobs""}, ""description"": ""Notre client est une grande banque fran\u00e7aise. Contexte / Objectifs : La mission va se d\u00e9rouler au sein de l'IT Data Management & BI dans l'\u00e9quipe Big Data & API / Squad Global Trade qui aujourd'hui d\u00e9veloppe et g\u00e8re un datalake (GTLake). Ce datalake est utilis\u00e9 comme une data plateforme pour les \u00e9quipes IT et m\u00e9tiers. L'objectif de la mission est d'assurer le r\u00f4le de D\u00e9veloppeur/Data Engineer du GTLake : - Gestion de la production - Gestion de la dette technique - Revoir l'architecture actuelle\u2026"", ""id"": ""5210273267"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""latitude"": 48.863839, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIxMDI3MzI2NyIsInMiOiJiZ285MUxvMzhCR1VFdUV6X0xXQ2V3In0.R2usCcPkSF9_L3Gx1HIvIo54mF6ilp5uYd7hO3AzKbI""}",11728447272359778162,310,gpt-3.5-turbo,v1,"Match: 3/10
Justification: The job as a data engineer in a bank does not align with the user's preference for working in the energy or public sector. However, the opportunity to work with big data and AWS services may be of interest.",3,Demande au moins 6 ans d'expérience avec un maitrise d'une grande quantité de technologies complexes attendues. Ne correspond pas à un profil junior.,False
